text,true_label
"Hari ini pemerintah kembali melakukan edukasi bahaya judi online di masyarakat",C0
"Jangan percaya situs judi online karena dapat menyebabkan kecanduan",C0
"Polisi mengimbau masyarakat untuk menghindari perjudian online",C0
"Bahaya judi online dapat menyebabkan kerugian finansial",C0
"Penindakan terhadap jaringan judi online terus dilakukan",C0
"Slot gacor hari ini bonus besar daftar sekarang",C2
"Deposit sekarang dan dapatkan bonus member baru",C2
"Main slot gacor jackpot besar klik link di bio",C2
"Daftar judi online sekarang bonus new member",C2
"Deposit QRIS untuk mendapatkan bonus dan jackpot",C2
"Link alternatif tersedia untuk member",C1
"Promo bonus member baru tersedia hari ini",C1
"Informasi situs dan link alternatif dapat berubah",C1
"Admin menyediakan informasi pendaftaran member",C1
"Promo permainan dan bonus terbaru",C1

jhchcc
