sample_id,source_type,content_type,caption,comments,image_available,ocr_available,visual_available,audio_available,account_id,provisional_label,annotator_1,annotator_2,adjudication,final_label,notes
S001,Instagram,post,"Hari ini pemerintah kembali melakukan edukasi bahaya judi online di masyarakat","",0,0,0,0,ACCOUNT_001,C0,,,,,
S002,Instagram,post,"Jangan percaya situs judi online karena dapat menyebabkan kecanduan","",0,0,0,0,ACCOUNT_002,C0,,,,,
S003,Instagram,post,"Polisi mengimbau masyarakat untuk menghindari perjudian online","",0,0,0,0,ACCOUNT_003,C0,,,,,
S004,Instagram,post,"Bahaya judi online dapat menyebabkan kerugian finansial","",0,0,0,0,ACCOUNT_004,C0,,,,,
S005,Instagram,post,"Penindakan terhadap jaringan judi online terus dilakukan","",0,0,0,0,ACCOUNT_005,C0,,,,,
S006,Instagram,post,"Slot gacor hari ini bonus besar daftar sekarang","",0,0,0,0,ACCOUNT_006,C2,,,,,
S007,Instagram,post,"Deposit sekarang dan dapatkan bonus member baru","",0,0,0,0,ACCOUNT_007,C2,,,,,
S008,Instagram,post,"Main slot gacor jackpot besar klik link di bio","",0,0,0,0,ACCOUNT_008,C2,,,,,
S009,Instagram,post,"Daftar judi online sekarang bonus new member","",0,0,0,0,ACCOUNT_009,C2,,,,,
S010,Instagram,post,"Deposit QRIS untuk mendapatkan bonus dan jackpot","",0,0,0,0,ACCOUNT_010,C2,,,,,
S011,Instagram,post,"Link alternatif tersedia untuk member","",0,0,0,0,ACCOUNT_011,C1,,,,,
S012,Instagram,post,"Promo bonus member baru tersedia hari ini","",0,0,0,0,ACCOUNT_012,C1,,,,,
S013,Instagram,post,"Informasi situs dan link alternatif dapat berubah","",0,0,0,0,ACCOUNT_013,C1,,,,,
S014,Instagram,post,"Admin menyediakan informasi pendaftaran member","",0,0,0,0,ACCOUNT_014,C1,,,,,
S015,Instagram,post,"Promo permainan dan bonus terbaru","",0,0,0,0,ACCOUNT_015,C1,,,,,
